,Starting Median Salary,Mid-Career Median Salary,Mid-Career 90th Percentile Salary,MORTGAGE,RENT,ELECTRICITY,GAS,EAT-IN,PHONE,HLTH & WELL,VET,REGION
87,51200.0,104000.0,222000.0,316117.0,990.26,150.73,2.62,14.23,160.67,613.21,53.37,Southern
88,56200.0,96500.0,168000.0,306401.0,959.82,175.54,2.68,16.32,187.12,759.5600000000002,54.56,Midwestern
89,43500.0,73100.0,137000.0,306401.0,959.82,175.54,2.68,16.32,187.12,759.5600000000002,54.56,Midwestern
90,41400.0,64800.0,125000.0,274824.0,860.9,161.62,2.85,14.16,172.29,830.8800000000001,52.4,Midwestern
93,42300.0,73800.0,135000.0,210282.0,658.72,145.03,2.61,11.83,154.59,680.01,43.9,Midwestern
94,47000.0,87300.0,151000.0,305360.0,956.56,165.98,2.7,13.56,176.93,736.3,55.02,Midwestern
95,42400.0,72600.0,151000.0,417441.0,1308.0,213.6,2.56,14.62,227.69,886.4100000000002,61.97,Northeastern
96,36900.0,55500.0,124000.0,165415.0,518.17,150.73,2.62,14.23,160.67,613.21,53.37,Southern
97,44900.0,83700.0,162000.0,266496.0,834.82,130.27,2.53,14.510000000000002,138.87,691.26,50.13,Midwestern
98,41300.0,81400.0,161000.0,271354.0,850.03,183.92,2.57,15.38,196.06,676.25,61.04,Southern
99,60900.0,120000.0,282000.0,449365.0,1408.0,208.74,3.0,17.05,222.51,793.34,55.18,Northeastern
100,53400.0,93500.0,161000.0,449365.0,1408.0,208.74,3.0,17.05,222.51,793.34,55.18,Northeastern
101,49900.0,85700.0,160000.0,449365.0,1408.0,208.74,3.0,17.05,222.51,793.34,55.18,Northeastern
102,43400.0,84700.0,151000.0,449365.0,1408.0,208.74,3.0,17.05,222.51,793.34,55.18,Northeastern
103,45100.0,80300.0,141000.0,449365.0,1408.0,208.74,3.0,17.05,222.51,793.34,55.18,Northeastern
105,43800.0,74600.0,153000.0,249146.0,780.47,150.06,2.19,12.63,159.95,655.99,44.01,Southern
106,52900.0,96100.0,177000.0,266496.0,834.82,190.29,2.52,13.37,202.85,708.52,48.43,Midwestern
107,44500.0,78700.0,145000.0,284193.0,890.25,183.25,2.47,16.04,195.34,740.06,49.72,Western
108,41400.0,69700.0,127000.0,228326.0,715.25,173.03,2.33,13.37,184.44,636.47,44.62,Southern
109,43600.0,80800.0,161000.0,341022.0,1068.0,140.67,2.91,14.94,149.95,815.11,49.46,Midwestern
110,61000.0,114000.0,180000.0,426457.0,1336.0,213.6,2.56,14.62,227.69,886.4100000000002,61.97,Northeastern
112,43200.0,75500.0,136000.0,498986.0,1563.0,165.31,2.93,15.47,176.22,728.05,52.19,Southern
113,43800.0,76000.0,128000.0,1046899.0,3279.0,316.71,3.52,23.770000000000003,337.6,869.8900000000001,66.55,Western
115,45400.0,80800.0,138000.0,345219.0,1081.0,168.67,2.74,13.61,179.79,732.55,57.54,Southern
116,42600.0,71700.0,125000.0,308483.0,966.34,186.44,2.45,14.99,198.74,662.0,48.69,Southern
117,49400.0,88600.0,164000.0,348388.0,1091.0,121.72,2.66,14.68,129.75,832.38,51.37,Western
119,42800.0,78300.0,149000.0,320975.0,1005.0,149.55,2.47,13.400000000000002,159.42,740.06,52.6,Southern
120,53400.0,113000.0,255000.0,539932.0,1691.0,151.23,3.3,15.89,161.21,760.32,59.09,Midwestern
121,56000.0,97800.0,165000.0,539932.0,1691.0,151.23,3.3,15.89,161.21,760.32,59.09,Midwestern
122,46400.0,84800.0,160000.0,539932.0,1691.0,151.23,3.3,15.89,161.21,760.32,59.09,Midwestern
123,47500.0,81700.0,146000.0,539932.0,1691.0,151.23,3.3,15.89,161.21,760.32,59.09,Midwestern
124,36600.0,51000.0,102000.0,528481.0,1656.0,166.15,2.82,15.05,177.11,725.8,52.86,Southern
125,42400.0,88700.0,197000.0,225203.0,705.46,197.84,2.57,13.89,210.89,684.51,53.22,Southern
126,36100.0,69500.0,134000.0,243247.0,761.99,166.65,2.27,14.45,177.65,740.8,48.54,Midwestern
127,49100.0,95800.0,185000.0,351858.0,1102.0,144.69,2.74,14.29,154.24,676.25,50.23,Southern
128,45900.0,72600.0,137000.0,510784.0,1600.0,173.7,2.93,18.44,185.15,1079.31,63.21,Western
129,41700.0,81000.0,156000.0,283499.0,888.08,162.97,2.47,14.37,173.72,752.81,49.77,Midwestern
130,61800.0,111000.0,209000.0,317505.0,994.61,184.43,2.78,16.21,196.59,704.03,50.13,Northeastern
131,40700.0,84400.0,131000.0,317505.0,994.61,184.43,2.78,16.21,196.59,704.03,50.13,Northeastern
133,44100.0,82800.0,160000.0,263026.0,823.95,158.61,2.22,13.7,169.07,663.5,50.49,Southern
136,41100.0,71100.0,131000.0,266843.0,835.9,194.99,2.77,14.68,207.85,737.8,49.93,Southern
137,47500.0,86100.0,160000.0,277600.0,869.6,151.23,2.52,15.07,161.21,759.5600000000002,52.14,Western
138,47000.0,77800.0,130000.0,509743.0,1597.0,179.56,2.69,15.739999999999998,191.41,687.52,54.4,Southern
139,45400.0,84600.0,147000.0,331038.0,1037.0,133.63,2.79,13.32,142.44,748.31,46.22,Midwestern
140,43300.0,79000.0,138000.0,294256.0,921.78,149.39,2.39,13.84,159.24,710.03,48.79,Midwestern
141,51100.0,101000.0,177000.0,817185.0,2560.0,192.64,3.36,16.57,205.35,806.8499999999998,52.55,California
142,46200.0,85200.0,158000.0,817185.0,2560.0,192.64,3.36,16.57,205.35,806.8499999999998,52.55,California
143,35800.0,60600.0,102000.0,281070.0,880.47,172.86,2.62,13.37,184.26,780.5799999999998,47.56,Midwestern
144,52700.0,93000.0,182000.0,407378.0,1276.0,157.1,2.57,16.2,167.46,935.2,48.9,Midwestern
146,38700.0,62600.0,124000.0,546401.0,1712.0,162.63,2.85,14.9,173.36,631.23,43.29,Midwestern
147,52700.0,95900.0,205000.0,854777.0,2678.0,151.23,3.3,15.89,161.21,760.32,59.09,Midwestern
148,48900.0,87800.0,170000.0,379618.0,1189.0,176.38,2.8,15.11,188.01,918.68,54.61,Midwestern
149,43100.0,82700.0,132000.0,258168.0,808.73,183.92,2.49,14.1,196.06,725.05,55.12,Southern
150,48800.0,85300.0,149000.0,673874.0,2111.0,206.39,3.47,18.6,220.0,932.2,69.64,Western
151,48300.0,82800.0,150000.0,673874.0,2111.0,206.39,3.47,18.6,220.0,932.2,69.64,Western
152,59900.0,112000.0,201000.0,1128030.0,3534.0,190.46,3.4,18.42,203.03,923.93,62.69,California
153,43400.0,72100.0,133000.0,271701.0,851.12,155.25,2.66,15.28,165.49,726.55,45.04,Southern
155,38700.0,63300.0,118000.0,257821.0,807.64,146.03,2.26,13.3,155.67,613.21,45.91,Southern
156,52700.0,103000.0,215000.0,376495.0,1179.0,159.11,2.24,15.52,169.61,829.37,59.86,Southern
157,42100.0,73000.0,156000.0,315423.0,988.08,144.36,2.43,16.13,153.88,739.3,51.06,Southern
158,46500.0,97900.0,215000.0,616230.0,1930.0,161.62,2.94,14.77,172.29,852.64,60.58,Northeastern
159,38600.0,70900.0,117000.0,336194.0,1053.0,126.75,2.93,14.23,135.11,851.8900000000001,50.23,Western
160,52900.0,83400.0,138000.0,244957.0,767.34,208.74,3.0,17.05,222.51,793.34,55.18,Northeastern
161,45700.0,80900.0,156000.0,286622.0,897.86,120.21,2.66,14.12,128.14,768.5699999999998,53.22,Midwestern
162,46500.0,79400.0,158000.0,311953.0,977.21,216.11,2.47,13.19,230.37,683.01,50.23,Southern
163,46200.0,80000.0,121000.0,237695.0,744.6,166.99,2.26,12.57,178.01,672.51,51.83,Southern
164,47800.0,82400.0,154000.0,474696.0,1487.0,149.72,3.2,17.13,159.6,778.3399999999998,56.15,California
